"id","countyName","zipCode"
"74864","San Bernardino"," 92386 "
"74865","Orange"," 92843 "
"74866","Los Angeles"," 90275 "
"74867","Maricopa"," 85320 "
"74868","Paulding"," 30120 "
"74869","Oconee"," 30622 "
"74870","Taney"," 65611 "
"74871","Orange"," 32709 "
"74872","Marshall"," 38635 "
"74873","Iron"," 63621 "
"74874","Peach"," 31008 "
"74875","Texas"," 65444 "
"74876","Sweet Grass"," 59011 "
"74877","Muscogee"," 31904 "
"74878","Stone"," 65624 "
"74879","Oglethorpe"," 30628 "
"74880","Jackson"," 64029 "
"74881","Teton"," 59436 "
"74882","Tallapoosa"," 36255 "
"74883","Nevada"," 71858 "
"74884","Jasper"," 64832 "
"74885","Newton"," 30054 "
"74886","Tuscaloosa"," 35405 "
"74887","Stoddard"," 63841 "
"74888","Monroe"," 38870 "
"74889","Walker"," 35503 "
"74890","Palm Beach"," 33409 "
"74891","Jefferson"," 63028 "
"74892","Pinellas"," 33712 "
"74893","Sarasota"," 34291 "
"74894","Miami Dade"," 33178 "
"74895","San Diego"," 92106 "
"74896","San Bernardino"," 92391 "
"74897","Orange"," 92844 "
"74898","Los Angeles"," 90277 "
"74899","Maricopa"," 85322 "
"74900","Pickens"," 30107 "
"74901","Paulding"," 30127 "
"74902","Vernon"," 64728 "
"74903","Talladega"," 35014 "
"74904","Marion"," 39429 "
"74905","Howell"," 65548 "
"74906","Oconee"," 30666 "
"74907","Taney"," 65614 "
"74908","Orange"," 32712 "
"74909","Marshall"," 38642 "
"74910","Iron"," 63623 "
"74911","Peach"," 31030 "
"74912","Texas"," 65464 "
"74913","Sweet Grass"," 59033 "
"74914","Muscogee"," 31906 "
"74915","Stone"," 65633 "
"74916","Oglethorpe"," 30629 "
"74917","Jackson"," 64030 "
"74918","Teton"," 59468 "
"74919","Tallapoosa"," 36256 "
"74920","Jasper"," 64834 "
"74921","Newton"," 30055 "
"74922","Tuscaloosa"," 35406 "
"74923","Stoddard"," 63846 "
"74924","Monroe"," 39730 "
"74925","Walker"," 35504 "
"74926","Palm Beach"," 33410 "
"74927","Jefferson"," 63030 "
"74928","Pinellas"," 33713 "
"74929","Sarasota"," 34292 "
"74930","Miami Dade"," 33179 "
"74931","San Diego"," 92107 "
"74932","San Bernardino"," 92392 "
"74933","Orange"," 92845 "
"74934","Los Angeles"," 90278 "
"74935","Maricopa"," 85323 "
"74936","Pickens"," 30139 "
"74937","Paulding"," 30132 "
"74938","Vernon"," 64741 "
"74939","Pierce"," 31516 "
"74940","Talladega"," 35044 "
"74941","Marion"," 39478 "
"74942","Warren"," 63348 "
"74943","Howell"," 65609 "
"74944","Stillwater"," 59001 "
"74945","Oconee"," 30677 "
"74946","Taney"," 65616 "
"74947","Orange"," 32751 "
"74948","Marshall"," 38659 "
"74949","Iron"," 63636 "
"74950","Peach"," 31069 "
"74951","Texas"," 65468 "
"74952","Sweet Grass"," 59052 "
"74953","Muscogee"," 31907 "
"74954","Stone"," 65656 "
"74955","Oglethorpe"," 30630 "
"74956","Jackson"," 64034 "
"74957","Tallapoosa"," 36276 "
"74958","Jasper"," 64835 "
"74959","Newton"," 30056 "
"74960","Tuscaloosa"," 35444 "
"74961","Stoddard"," 63850 "
"74962","Monroe"," 39746 "
"74963","Walker"," 35549 "
"74964","Palm Beach"," 33411 "
